node,degree,weighted_degree,betweenness,eigenvector
$NVDA,49,541867,0.0,0.3812249211761844
$TSLA,49,492036,0.0,0.35379823735905386
$SPY,49,434349,0.0,0.31493579351383744
$AAPL,49,427662,0.0,0.3138560811541035
$AMZN,49,393070,0.0,0.2923573290670803
$AMD,49,323091,0.0,0.23925937285698312
$QQQ,49,279903,0.0,0.21056538452528348
$BA,49,259244,0.0,0.19105283293153444
$BABA,49,258844,0.0,0.194537047550323
$NFLX,49,258693,0.0,0.19453504841837846
$ROKU,49,241471,0.0,0.1708303244196144
$MSFT,47,215980,0.0,0.16598864255146117
$FB,49,214176,0.0,0.16194105509708367
$SHOP,49,184699,0.0,0.13229174781713288
$SPX,49,142824,0.0,0.10853220672221224
