node,degree,weighted_degree,betweenness,eigenvector
#stocks,37,9916,0.07670068027210881,
#investing,36,8124,0.023299319727891156,
#stockmarket,34,7593,0.0012755102040816326,
#investment,23,5731,0.002125850340136054,
#stock,27,5652,0.10749716553287982,
#optionstrading,31,5160,0.0027069160997732424,
#options,28,4954,0.05426587301587301,
#investor,19,4625,0.002125850340136054,
#optionsflow,21,4480,0.0,
#optiontrading,18,4392,0.0012755102040816326,
#invest,18,3977,0.003401360544217687,
#investors,21,3904,0.0017006802721088435,
#optionstrade,15,3626,0.003613945578231292,
#uoa,13,3600,0.0,
#trading,38,3261,0.11791383219954647,
