cashtag,cooccurrence_with_NVDA
$TSLA,47163
$SPY,37905
$AAPL,37614
$AMZN,33758
$AMD,29061
$QQQ,22167
$NFLX,20330
$BABA,20238
$BA,19030
$MSFT,18303
$ROKU,16548
$FB,15181
$SHOP,12933
$SPX,10147
$AMC,8855
$INTC,7957
$DAL,7794
$TWTR,7667
$BYND,7398
$BTC,7362
$EBAY,7302
$GOOGL,7276
$NIO,7067
$GME,6912
$SQ,6794
$META,6351
$MRNA,6339
$GOOG,6325
$DIS,5847
$IWM,5765
$ES,5712
$MU,5700
$DOW,5483
$BB,5477
$AAL,5102
$JPM,4894
$ETH,4861
$OXY,4779
$WMT,4695
$NDX,4671
$SPCE,4652
$CRM,4235
$BAC,4212
$KODK,4184
$PENN,4131
$COST,3931
$PYPL,3927
$CEMI,3921
$FCEL,3911
