lag,description,pearson_r,p_value,n
-5,sentiment leads stock by 5d,-0.1127050713887024,0.4506877014089034,47
-4,sentiment leads stock by 4d,-0.09393389745120552,0.5253991072007578,48
-3,sentiment leads stock by 3d,-0.15780125532470554,0.27885488563671795,49
-2,sentiment leads stock by 2d,0.06100961900264626,0.6738396501055394,50
-1,sentiment leads stock by 1d,-0.24528433817826117,0.08276450544212216,51
0,same day,-0.24444225466658387,0.08385881204793923,51
1,stock leads sentiment by 1d,-0.1207703865890191,0.40346987605630596,50
2,stock leads sentiment by 2d,0.18554241357633403,0.20181960755694037,49
3,stock leads sentiment by 3d,-0.21505035840750203,0.14213816999098816,48
4,stock leads sentiment by 4d,-0.04064390035423518,0.7861991655423609,47
5,stock leads sentiment by 5d,-0.04706155392625348,0.7561237957117992,46
