x,y,n,pearson_r,pearson_p,spearman_r,spearman_p
average_sentiment,Close,52,-0.12206352642206447,0.38866251535878116,-0.07581319900964739,0.5932191591020162
average_sentiment,daily_return,51,-0.24444225466658387,0.08385881204793923,-0.2638914027149321,0.061322829152764054
average_sentiment,log_return,51,-0.23702771430852296,0.09399083719579927,-0.2638914027149321,0.061322829152764054
average_sentiment,Volume,52,-0.3867218446800831,0.004625820277796582,-0.3941774097157005,0.0038349501406217666
tweet_count,Close,52,0.023236606786767457,0.8701166631511862,0.13570681525363987,0.33743063059756273
tweet_count,daily_return,51,0.09814348841326132,0.4932392599907267,0.1885110523344991,0.18524523892307093
tweet_count,log_return,51,0.08914964122258548,0.5338675729309751,0.1885110523344991,0.18524523892307093
tweet_count,Volume,52,0.42647404615044576,0.0016180191083371642,0.4306418220442651,0.0014384579426087916
positive_count,Close,52,-0.060275143576870166,0.6712226176030713,0.06266942743750355,0.6589492563669251
positive_count,daily_return,51,0.021473243146566883,0.8811077607045373,0.13127587875570965,0.35849429579220726
positive_count,log_return,51,0.015304427235421872,0.9151125968975439,0.13127587875570965,0.35849429579220726
positive_count,Volume,52,0.2923905563469575,0.03542981731837827,0.2930692229962274,0.034986059538328895
negative_count,Close,52,0.011468472888522456,0.9356864422670053,0.16109677571394615,0.2539045190566214
negative_count,daily_return,51,0.010371242265498359,0.9424179088768747,0.16284494137216363,0.25355553982242796
negative_count,log_return,51,0.0013272106776169934,0.9926250965072901,0.16284494137216363,0.25355553982242796
negative_count,Volume,52,0.4029338425088431,0.003060141792036848,0.4016315161224681,0.00316580925666595
