node,in_degree_weighted,out_degree_weighted,pagerank
@otc_to,0,412,0.00014048066944102977
@playsmart9,0,190,0.00014048066944102977
@paulroc58170404,0,179,0.00014048066944102977
@mrstonkington,34,159,0.00024321331177532774
@tobias_lecler,5,149,0.00017427666856300897
@raymonddalfons2,0,107,0.00014048066944102977
@neiltwitz,0,100,0.00014048066944102977
@dasunman8,34,96,0.00022192897177293212
@don7himanshu,28,95,0.0011667281945210164
@beachdudeca,1,79,0.000185610116456235
@tony_battista,2,74,0.0002485298798996057
@pool4562688422,0,72,0.00014048066944102977
@theoldrepublic,0,72,0.00014048066944102977
@thetreatment2,12,68,0.00048433056713009093
@investingangles,1,57,0.000259890362427389
