node,in_degree_weighted,out_degree_weighted,pagerank
@marketwirenews,529,0,0.016273258575129533
@ajtrader7,192,0,0.005213791598753613
@youtube,138,0,0.005929046010513419
@unusual_whales,136,0,0.005831625807085195
@chazzsheen3,132,0,0.0013855624520908792
@eliant_capital,121,0,0.005265116417157473
@jimcramer,100,0,0.004189951876142878
@elonmusk,87,0,0.0038870020062356297
@trendspider,71,4,0.005665653508872413
@profitstaken,70,18,0.007210312086789248
@marketrebels,67,0,0.005788794966796652
@nvidia,66,0,0.003256762945650016
@benderprofitbox,66,0,0.00028485838311177703
@mr_derivatives,66,0,0.003591177709847862
@hellsbellsbbs,66,0,0.00028485838311177703
