node,in_degree_weighted,out_degree_weighted,pagerank
@marketwirenews,529,0,0.016273258575129533
@jake__wujastyk,57,0,0.008371110143364377
@profitstaken,70,18,0.007210312086789248
@youtube,138,0,0.005929046010513419
@unusual_whales,136,0,0.005831625807085195
@marketrebels,67,0,0.005788794966796652
@trendspider,71,4,0.005665653508872413
@eliant_capital,121,0,0.005265116417157473
@ajtrader7,192,0,0.005213791598753613
@jimcramer,100,0,0.004189951876142878
@elonmusk,87,0,0.0038870020062356297
@mr_derivatives,66,0,0.003591177709847862
@gurgavin,45,0,0.0033771112768769943
@nvidia,66,0,0.003256762945650016
@dbooktrading,32,3,0.0029722994194087164
